mileage,date
80452,30-Aug-08
80612,1-Sep-08
80953,10-Sep-08
81202,17-Sep-08
81409,24-Sep-08
81646,28-Sep-08
81814,2-Oct-08
82175,4-Oct-08
82528,12-Oct-08
82836,22-Oct-08
83133,30-Oct-08
83311,6-Nov-08
83557,20-Nov-08
83790,4-Dec-08
84000,13-Dec-08
84235,15-Dec-08
84484,3-Jan-09
84519,5-Jan-09
84792,15-Jan-09
85078,24-Jan-09
85375,4-Feb-09
85695,13-Feb-09
85699,16-Feb-09
85853,21-Feb-09
85853,21-Feb-09
85952,26-Feb-09
86161,7-Mar-09
86161,7-Mar-09
86263,10-Mar-09
86531,19-Mar-09
86636,21-Mar-09
86760,26-Mar-09
86954,2-Apr-09
87231,9-Apr-09
87524,17-Apr-09
87732,23-Apr-09
87970,29-Apr-09
88132,7-May-09
88295,14-May-09
88446,20-May-09
88710,28-May-09
88981,4-Jun-09
89285,13-Jun-09
89550,18-Jun-09
89665,25-Jun-09
89941,29-Jun-09
89984,30-Jun-09
90245,9-Jul-09
90568,29-Jul-09
90890,5-Aug-09
91275,13-Aug-09
91545,25-Aug-09
91605,26-Aug-09
92172,31-Aug-09
92226,2-Sep-09
92584,9-Sep-09
92629,10-Sep-09
92858,16-Sep-09
93117,23-Sep-09
93262,25-Sep-09
93410,1-Oct-09
93733,9-Oct-09
94004,15-Oct-09
94315,23-Oct-09
94321,23-Oct-09
94418,29-Oct-09
94641,5-Nov-09
94873,12-Nov-09
95181,19-Nov-09
95522,2-Dec-09
95538,3-Dec-09
95813,10-Dec-09
96014,17-Dec-09
96509,3-Jan-10
96767,7-Jan-10
97078,12-Jan-10
97397,16-Jan-10
97695,21-Jan-10
97877,28-Jan-10
98105,4-Feb-10
98317,18-Feb-10
98570,25-Feb-10
98785,4-Mar-10
99000,12-Mar-10
99241,15-Mar-10
99360,18-Mar-10
99667,27-Mar-10
99900,1-Apr-10
100115,8-Apr-10
100331,15-Apr-10
100596,21-Apr-10
100929,3-May-10
101052,5-May-10
101314,13-May-10
101632,20-May-10
101904,16-Jun-10
102160,23-Jun-10
102357,30-Jun-10
102702,8-Jul-10
102961,14-Jul-10
103290,21-Jul-10
103633,28-Jul-10
103934,11-Aug-10
104290,17-Aug-10
104599,23-Aug-10
104656,25-Aug-10
104900,31-Aug-10
105248,6-Sep-10
105335,8-Sep-10
105664,14-Sep-10
105690,15-Sep-10
105834,22-Sep-10
106211,6-Oct-10
106776,14-Oct-10
107181,17-Oct-10
107586,22-Oct-10
107760,28-Oct-10
108043,4-Nov-10
108345,16-Nov-10
108669,1-Dec-10
108913,9-Dec-10
109174,17-Dec-10
109524,29-Dec-10
109544,30-Dec-10
109894,1-Jan-11
110241,5-Jan-11
110532,12-Jan-11
111210,26-Jan-11
111455,5-Feb-11
111793,11-Feb-11
112129,18-Feb-11
112465,23-Feb-11
112808,1-Mar-11
113115,7-Mar-11
113290,10-Mar-11
113504,16-Mar-11
113808,26-Mar-11
114052,2-Apr-11
114296,7-Apr-11
114577,12-Apr-11
114858,18-Apr-11
115177,26-Apr-11
115543,5-May-11
115799,10-May-11
116147,18-May-11
116435,26-May-11
116723,29-May-11
117024,3-Jun-11
117277,10-Jun-11
117657,14-Jun-11
